quarter,year,date,Underemployment rate1,Overemployment rate1,Underemployment rate (adjusted)2,Overemployment rate (adjusted)3,,,,,,,,,,,,,,
Q4,2008,Oct-Dec 2008,8.0,9.1,8.1,9.2,,,,Grand Total,182.487288,222.1220253,176.9919844,220.3919171,181.8105849,222.3671075,180.1170668,221.4616069,721.4069241,886.3426567
Q1,2009,Jan-Mar 2009,9.0,8.9,9.1,9.0,,,,,,,,,,,,,,
Q2,2009,Apr-Jun 2009,9.3,8.9,9.5,9.1,,,,,,,,,,,,,,
Q3,2009,Jul-Sep 2009,9.8,9.1,9.9,9.2,,,,,,,,,,,,,,
Q4,2009,Oct-Dec 2009,9.5,9.3,9.7,9.5,,,,,,,,,,,,,,
Q1,2010,Jan-Mar 2010,9.7,9.6,9.9,9.8,,,,,,,,,,,,,,
Q2,2010,Apr-Jun 2010,9.5,9.9,9.6,10.0,,,,,,,,,,,,,,
Q3,2010,Jul-Sep 2010,10.2,9.6,10.4,9.8,,,,,,,,,,,,,,
Q4,2010,Oct-Dec 2010,10.2,9.4,10.3,9.6,,,,,,,,,,,,,,
Q1,2011,Jan-Mar 2011,9.9,9.2,10.1,9.4,,,,,,,,,,,,,,
Q2,2011,Apr-Jun 2011,9.7,8.8,9.8,9.0,,,,,,,,,,,,,,
Q3,2011,Jul-Sep 2011,10.2,8.8,10.4,9.0,,,,,,,,,,,,,,
Q4,2011,Oct-Dec 2011,10.4,9.0,10.5,9.2,,,,,,,,,,,,,,
Q1,2012,Jan-Mar 2012,10.3,8.8,10.5,9.0,,,,,,,,,,,,,,
Q2,2012,Apr-Jun 2012,10.3,8.7,10.5,8.9,,,,,,,,,,,,,,
Q3,2012,Jul-Sep 2012,10.6,9.2,10.8,9.3,,,,,,,,,,,,,,
Q4,2012,Oct-Dec 2012,10.4,9.1,10.6,9.3,,,,,,,,,,,,,,
Q1,2013,Jan-Mar 2013,10.6,8.7,10.8,8.8,,,,,,,,,,,,,,
Q2,2013,Apr-Jun 2013,10.3,8.9,10.5,9.1,,,,,,,,,,,,,,
Q3,2013,Jul-Sep 2013,10.4,9.2,10.6,9.4,,,,,,,,,,,,,,
Q4,2013,Oct-Dec 2013,10.3,9.4,10.5,9.6,,,,,,,,,,,,,,
Q1,2014,Jan-Mar 2014,10.3,9.7,10.5,9.8,,,,,,,,,,,,,,
Q2,2014,Apr-Jun 2014,9.7,9.6,9.9,9.7,,,,,,,,,,,,,,
Q3,2014,Jul-Sep 2014,9.4,9.6,9.6,9.7,,,,,,,,,,,,,,
Q4,2014,Oct-Dec 2014,9.3,9.8,9.4,10.0,,,,,,,,,,,,,,
Q1,2015,Jan-Mar 2015,9.5,9.8,9.6,10.0,,,,,,,,,,,,,,
Q2,2015,Apr-Jun 2015,9.0,9.9,9.1,10.1,,,,,,,,,,,,,,
Q3,2015,Jul-Sep 2015,9.2,10.0,9.3,10.2,,,,,,,,,,,,,,
Q4,2015,Oct-Dec 2015,8.9,10.2,9.0,10.4,,,,,,,,,,,,,,
Q1,2016,Jan-Mar 2016,8.9,10.5,9.0,10.7,,,,,,,,,,,,,,
Q2,2016,Apr-Jun 2016,8.2,10.3,8.3,10.5,,,,,,,,,,,,,,
Q3,2016,Jul-Sep 2016,8.4,10.3,8.5,10.5,,,,,,,,,,,,,,
Q4,2016,Oct-Dec 2016,8.1,10.1,8.2,10.3,,,,,,,,,,,,,,
Q1,2017,Jan-Mar 2017,8.4,10.4,8.5,10.7,,,,,,,,,,,,,,
Q2,2017,Apr-Jun 2017,7.7,10.3,7.8,10.5,,,,,,,,,,,,,,
Q3,2017,Jul-Sep 2017,8.0,10.1,8.1,10.3,,,,,,,,,,,,,,
Q4,2017,Oct-Dec 2017,7.8,10.1,8.0,10.4,,,,,,,,,,,,,,
Q1,2018,Jan-Mar 2018,7.8,10.3,7.9,10.6,,,,,,,,,,,,,,
Q2,2018,Apr-Jun 2018,7.4,10.0,7.5,10.2,,,,,,,,,,,,,,
Q3,2018,Jul-Sep 2018,7.7,10.0,7.8,10.3,,,,,,,,,,,,,,
Q4,2018,Oct-Dec 2018,7.5,10.1,7.6,10.3,,,,,,,,,,,,,,
Q1,2019,Jan-Mar 2019,7.5,10.1,7.6,10.4,,,,,,,,,,,,,,
Q2,2019,Apr-Jun 2019,7.6,10.2,7.7,10.4,,,,,,,,,,,,,,
Q3,2019,Jul-Sep 2019,7.5,10.5,7.6,10.7,,,,,,,,,,,,,,
Q4,2019,Oct-Dec 2019,7.6,10.4,7.7,10.7,,,,,,,,,,,,,,
Q1,2020,Jan-Mar 2020,7.9,10.4,8.0,10.6,,,,,,,,,,,,,,
Q2,2020,Apr-Jun 2020,8.7,10.3,8.8,10.5,,,,,,,,,,,,,,
Q3,2020,Jul-Sep 2020,8.6,10.1,8.7,10.3,,,,,,,,,,,,,,
Q4,2020,Oct-Dec 2020,8.9,9.7,9.0,9.9,,,,,,,,,,,,,,
Q1,2021,Jan-Mar 2021,8.3,9.5,8.4,9.7,,,,,,,,,,,,,,
Q2,2021,Apr-Jun 2021,7.3,9.8,7.4,10.0,,,,,,,,,,,,,,
Q3,2021,Jul-Sep 2021,7.0,10.3,7.1,10.5,,,,,,,,,,,,,,
Q4,2021,Oct-Dec 2021,7.0,10.7,7.1,10.9,,,,,,,,,,,,,,
Q1,2022,Jan-Mar 2022,7.0,10.1,7.0,10.3,,,,,,,,,,,,,,
Q2,2022,Apr-Jun 2022,6.5,9.9,6.6,10.1,,,,,,,,,,,,,,
Q3,2022,Jul-Sep 20224,6.7,9.6,6.8,9.8,,,,,,,,,,,,,,
Q4,2022,Oct-Dec 2022,7.4,9.4,7.5,9.6,,,,,,,,,,,,,,
Q1,2023,Jan-Mar 2023,7.5,9.7,7.6,10.0,,,,,,,,,,,,,,
Q2,2023,Apr-Jun 2023,7.3,9.4,7.4,9.6,,,,,,,,,,,,,,
Q3,2023,Jul-Sep 2023,7.1,9.2,7.2,9.5,,,,,,,,,,,,,,
Q4,2023,Oct-Dec 2023,6.7,8.9,6.7,9.2,,,,,,,,,,,,,,
